Model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc_ovr
ET,0.9827586206896551,0.982905982905983,0.9831951812555261,0.9827586206896551,0.9826423002667575,0.9992163009404389
RF,0.9655172413793104,0.9658119658119658,0.9675855753441961,0.9655172413793104,0.965120180637422,0.9997760859829825
LGB,0.9655172413793104,0.9658119658119658,0.9675855753441961,0.9655172413793104,0.965120180637422,1.0
XGB,0.9568965517241379,0.9572649572649573,0.9596059113300492,0.9568965517241379,0.956120376762795,0.9992163009404389
