Model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision
RF,0.7636363636363637,0.7043269230769231,0.825,0.8461538461538461,0.8354430379746836,0.8205128205128205,0.9246013647399113
XGB,0.7090909090909091,0.702724358974359,0.8484848484848485,0.717948717948718,0.7777777777777778,0.8157051282051282,0.9279995054093718
ET,0.7090909090909091,0.6474358974358974,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.8125,0.9200460496229971
LGB,0.7272727272727273,0.6786858974358974,0.8157894736842105,0.7948717948717948,0.8051948051948052,0.7868589743589745,0.8912984440366531
